val_loss,val_acc,epoch,step,loss,acc
0.4548664093017578,0.893750011920929,0,9,,
0.32021862268447876,0.9125000238418579,1,19,,
0.25776737928390503,0.9125000238418579,2,29,,
0.22241798043251038,0.9125000238418579,3,39,,
,,4,49,0.1948567032814026,0.90625
0.20080947875976562,0.9125000238418579,4,49,,
0.1894059032201767,0.918749988079071,5,59,,
0.18410763144493103,0.925000011920929,6,69,,
0.17621567845344543,0.925000011920929,7,79,,
0.17221906781196594,0.9312499761581421,8,89,,
,,9,99,0.23872287571430206,0.9375
0.1703726351261139,0.9312499761581421,9,99,,
0.1648833453655243,0.9312499761581421,10,109,,
0.16268184781074524,0.9312499761581421,11,119,,
0.16282260417938232,0.9312499761581421,12,129,,
0.16346216201782227,0.9375,13,139,,
,,14,149,0.16874843835830688,0.9375
0.15653137862682343,0.9312499761581421,14,149,,
0.1591530442237854,0.9312499761581421,15,159,,
0.1653537005186081,0.925000011920929,16,169,,
0.16490954160690308,0.9437500238418579,17,179,,
0.16079601645469666,0.925000011920929,18,189,,
,,19,199,0.0852808952331543,0.984375
0.15505579113960266,0.9312499761581421,19,199,,
